period,candidate,L1,share_smooth,period_start,period_end
2023-03-06/2023-03-12,侯友宜,L1-06,0.0510204081632653,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,侯友宜,L1-07,0.0,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-01,0.005442176870748299,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-02,0.0,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-03,0.10183467326324468,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-04,0.09969078540507112,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-05,0.004081632653061225,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-06,0.2434961863533292,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,柯文哲,L1-07,0.07606679035250463,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-01,0.0711347893194545,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-02,0.026944672387861104,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-03,0.17062310594936458,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-04,0.12443325156149417,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-05,0.0026852846401718583,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-06,0.3838758092318327,2023-03-06,2023-03-06/2023-03-12
2023-03-06/2023-03-12,赖清德,L1-07,0.22030308690982112,2023-03-06,2023-03-06/2023-03-12
2023-03-13/2023-03-19,侯友宜,L1-01,0.0,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-02,0.04518950437317785,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-03,0.030612244897959183,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-04,0.0,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-05,0.029154518950437313,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-06,0.17201166180758018,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,侯友宜,L1-07,0.029154518950437313,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-01,0.08163265306122448,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-02,0.004709576138147567,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-03,0.07066856046447881,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-04,0.06559766763848396,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-05,0.004709576138147567,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-06,0.3073758441105379,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,柯文哲,L1-07,0.11836734693877553,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-01,0.07000282326369282,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-02,0.06032277394300465,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-03,0.34158011218792045,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-04,0.03795273049931434,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-05,0.0,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-06,0.32927285915307214,2023-03-13,2023-03-13/2023-03-19
2023-03-13/2023-03-19,赖清德,L1-07,0.14046053768768943,2023-03-13,2023-03-13/2023-03-19
