src,L1,camp,pair,n_win,n_ab
GPT,L1-06,DPP,04-08,1715,48
GPT,L1-06,DPP,06-07,1715,424
GPT,L1-06,DPP,06-08,1715,134
GPT,L1-06,DPP,07-08,1715,177
GPT,L1-06,KMT,04-06,1528,30
GPT,L1-06,KMT,04-07,1528,27
GPT,L1-06,KMT,04-08,1528,20
GPT,L1-06,KMT,06-07,1528,343
GPT,L1-06,KMT,06-08,1528,67
GPT,L1-06,KMT,07-08,1528,90
GPT,L1-06,TPP,04-06,2449,42
GPT,L1-06,TPP,04-07,2449,46
GPT,L1-06,TPP,04-08,2449,28
GPT,L1-06,TPP,06-07,2449,505
GPT,L1-06,TPP,06-08,2449,130
GPT,L1-06,TPP,07-08,2449,180
GPT,L1-07,DPP,04-06,822,18
GPT,L1-07,DPP,04-07,822,20
GPT,L1-07,DPP,04-08,822,20
GPT,L1-07,DPP,06-07,822,200
GPT,L1-07,DPP,06-08,822,70
GPT,L1-07,DPP,07-08,822,108
GPT,L1-07,KMT,04-06,863,10
GPT,L1-07,KMT,04-07,863,11
GPT,L1-07,KMT,04-08,863,4
GPT,L1-07,KMT,06-07,863,246
GPT,L1-07,KMT,06-08,863,35
GPT,L1-07,KMT,07-08,863,54
GPT,L1-07,TPP,04-06,1052,14
GPT,L1-07,TPP,04-07,1052,24
GPT,L1-07,TPP,04-08,1052,11
GPT,L1-07,TPP,06-07,1052,268
GPT,L1-07,TPP,06-08,1052,54
GPT,L1-07,TPP,07-08,1052,91
