doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,drop_reason,winner__source_file,winner_source,winner__corpus_tier,winner_unit_id
_1650f98350cd,_1650f98350cd_u008,"國民黨與民眾黨的「藍白合」,日前決議以民調決定正副總統人選,但雙方對民調數據、統計誤差未達共識。",context,26日蕭美琴計畫參加賴清德與民進黨立委參選人張美慧的花蓮聯合競選總部開幕。,"不過,柯文哲今天下午在「Team KP 誓師大會」表示,大家都很關心藍白到底合不合,他不會違背民意,會盡所有力量讓台灣向前、會釋出最大善意,團結一切可團結的力量,「我會繼續用台灣民眾黨總統候選人身分,拚戰到底」。","[{""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,19510f5929b0986a305878dd07d2278a,False,03_Lai_chinatimes_news,2023-11-19 22:57:00,"國民黨與民眾黨的「藍白合」,日前決議以民調決定正副總統人選,但雙方對民調數據、統計誤差未達共識。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5154614448547363,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_1650f98350cd_u008
_bb6e9862e4f6,_bb6e9862e4f6_u002,"李進勇說,預計在全國設置1萬7794個投開票所,比去年地方選舉增加145個投開票所;",claim,"最新》中選會公告總統候選人名單 明年1/3起禁發布民調 中選會:總統候選人連署門檻28萬9667人 李進勇今天舉行「發布第16任總統副總統選舉公告」記者會時表示,第16任總統副總統及第11屆立法委員選舉,定於113年1月13日舉行投票,投票時間從上午8時起到下午4時為止。","李進勇指出,這次選舉要年滿20歲才有投票權,預估選舉人數約1950萬人,總統副總統首投族約有102萬8000人;",[],[],False,,1951c6b8fc64cb7787cf3a410c235979,False,03_Lai_chinatimes_news,2023-09-12 11:11:00,"李進勇說,預計在全國設置1萬7794個投開票所,比去年地方選舉增加145個投開票所;",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_bb6e9862e4f6_u002
_48a693c6a029,_48a693c6a029_u009,"另外,在縣治特區規劃設置1處社會住宅,以吸引青年返鄉就業。",context,"透過 Google News 蔡易餘指出,規劃在馬稠後產業園區設立1處獨立園區,交由國科會管理,並屬於嘉義科學園區範圍,專門吸引半導體的供應鏈廠商;","詹琬蓁說,過去9年擔任嘉義縣議員,非常用心且認真的在監督縣政,同時也遇到很多是議員沒有辦法做的事情,因此,決定出來參選立委,希望自己可以去了解中央到底在做什麼事情、怎麼樣可以爭取到更多經費、如何將地方基層的民意傳達給中央。",[],[],False,,195491d666c877099d647154a3c0a0d0,False,02_Ke_chinatimes_news,2024-01-05 19:04:00,"另外,在縣治特區規劃設置1處社會住宅,以吸引青年返鄉就業。",True,institution_only,False,,False,DROP,0.2261888831853866,REVIEW,0.0462642908096313,False,REVIEW,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_48a693c6a029_u009
_48a693c6a029,_48a693c6a029_u009,"另外,在縣治特區規劃設置1處社會住宅,以吸引青年返鄉就業。",context,"透過 Google News 蔡易餘指出,規劃在馬稠後產業園區設立1處獨立園區,交由國科會管理,並屬於嘉義科學園區範圍,專門吸引半導體的供應鏈廠商;","詹琬蓁說,過去9年擔任嘉義縣議員,非常用心且認真的在監督縣政,同時也遇到很多是議員沒有辦法做的事情,因此,決定出來參選立委,希望自己可以去了解中央到底在做什麼事情、怎麼樣可以爭取到更多經費、如何將地方基層的民意傳達給中央。",[],[],False,,195491d666c877099d647154a3c0a0d0,False,03_Lai_chinatimes_news,2024-01-05 19:04:00,"另外,在縣治特區規劃設置1處社會住宅,以吸引青年返鄉就業。",True,institution_only,False,,False,DROP,0.1252337545156479,REVIEW,0.0462642908096313,False,REVIEW,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_48a693c6a029_u009
_049fe1d6ae71,_049fe1d6ae71_u000,"賴清德台南造勢 盼總統勝選、國會過半 2023/8/5 18:55 (8/5 19:12 更新) (中央社台南5日電)民進黨總統參選人賴清德今天前往台南安平觀音亭參香,隨後出席在永康區舉辦的全國保生大帝信賴台灣後援會成立大會,他強調這次選舉關係國家未來方向,盼「總統勝選,國會過半」。",claim,,"賴清德下午前往安平觀音亭,參與觀世音菩薩得道日壽宴,參香祈求觀音佛祖保佑台灣風調雨順,致詞時提到,台南現在有登革熱疫情,呼籲民眾和市政府好好配合,將病媒蚊孳生源清除。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],True,campaigning,1972c1e2604d30313a121e4e7cc557fa,False,03_Lai_chinatimes_news,2023-08-05 18:55:00,"賴清德台南造勢 盼總統勝選、國會過半 2023/8/5 18:55 (8/5 19:12 更新) (中央社台南5日電)民進黨總統參選人賴清德今天前往台南安平觀音亭參香,隨後出席在永康區舉辦的全國保生大帝信賴台灣後援會成立大會,他強調這次選舉關係國家未來方向,盼「總統勝選,國會過半」。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_049fe1d6ae71_u000
_c4378e3147f2,_c4378e3147f2_u004,"江啟臣力拚4連霸,今在4名黨籍立委參選人羅廷瑋、黃健豪、廖偉翔、林家興陪同登記參選,他說,2024年是總統及立委大選,國會是關鍵,要有效堅督執政者及反映民意,共同承擔民眾的負托。",claim,"針對藍白合瀕臨破局,江啟臣表示,合作是好事,好事多磨,過程要有結果,現在是民眾期待與初衷在最後關鍵時刻,強調合作初衷是政黨輪替,不管結果如何,目標不要改變。",江啟臣在黨籍新生代4名立委參選人陪同登記參選。,[],[],False,,19752c36d96accc9f2962e7485ba4f8f,False,03_Lai_ltn_news,2023-11-23 16:25:12,"江啟臣力拚4連霸,今在4名黨籍立委參選人羅廷瑋、黃健豪、廖偉翔、林家興陪同登記參選,他說,2024年是總統及立委大選,國會是關鍵,要有效堅督執政者及反映民意,共同承擔民眾的負托。",True,institution_only,True,gate: core_election,False,KEEP,0.6611456871032715,,,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_ltn_news_units.csv,01_Ho_ltn_news,1,_c4378e3147f2_u004
_e22e6a43f6b0,_e22e6a43f6b0_u005,"透過 Google News 民進黨4月12日召開中執會,正式提名黨主席賴清德參選2024總統。",context,四:第四支柱是穩定而有原則的兩岸關係領導能力。,(譯者:施施/核稿:陳政一)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 侯友宜:沒反對兵役延長為1年、續對美軍購 侯友宜拋恢復4個月兵役 藍營人士:黨中央事前不知情 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 賴清德投書華爾街日報 提4大支柱致力維護兩岸和平 賴清德和平4支柱 葛來儀:堅持蔡總統兩岸核心原則 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,19756efa93dee83752ba60093527032d,False,02_Ke_chinatimes_news,2023-07-05 05:06:00,"透過 Google News 民進黨4月12日召開中執會,正式提名黨主席賴清德參選2024總統。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4299710392951965,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_e22e6a43f6b0_u005
_e22e6a43f6b0,_e22e6a43f6b0_u005,"透過 Google News 民進黨4月12日召開中執會,正式提名黨主席賴清德參選2024總統。",context,四:第四支柱是穩定而有原則的兩岸關係領導能力。,(譯者:施施/核稿:陳政一)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 侯友宜:沒反對兵役延長為1年、續對美軍購 侯友宜拋恢復4個月兵役 藍營人士:黨中央事前不知情 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 賴清德投書華爾街日報 提4大支柱致力維護兩岸和平 賴清德和平4支柱 葛來儀:堅持蔡總統兩岸核心原則 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,19756efa93dee83752ba60093527032d,False,03_Lai_chinatimes_news,2023-07-05 05:06:00,"透過 Google News 民進黨4月12日召開中執會,正式提名黨主席賴清德參選2024總統。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4355651140213012,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_e22e6a43f6b0_u005
_b6dd51024d8f,_b6dd51024d8f_u004,"賴清德表示,中國其實應該要感謝台灣人民,因為中國經濟這20年、30年來突飛猛進,最大的外資來自台灣,赴中國的人才人數也多,等同帶給中國人才、資金、科技還有專業,可說是展現善意;",claim,"且過去前總統陳水扁曾希望對中國釋出善意,中國卻選擇「聽其言觀其行」,總統蔡英文也表達交流善意,中國依然沒有接受,「中國是真的要繼續這樣下去嗎?對他(中國)沒有好處」。","而日前河北淹水,他與蔡總統都表達關心,台灣民眾更出錢出力。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,1977cdc22d7c56e404d8272c2b5c0219,False,03_Lai_chinatimes_news,2023-09-02 23:54:00,"賴清德表示,中國其實應該要感謝台灣人民,因為中國經濟這20年、30年來突飛猛進,最大的外資來自台灣,赴中國的人才人數也多,等同帶給中國人才、資金、科技還有專業,可說是展現善意;",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4287396669387817,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_b6dd51024d8f_u004
_c76a4fd33977,_c76a4fd33977_u005,"未來組聯合政府,除國防、外交、兩岸由總統決定,其餘部會原則上依各黨派立法委員席次分配,台灣民眾黨主責監督制衡、中國國民黨主責建設發展。",context,"藍白合政黨協商昨天在前總統馬英九見證下達共識,由民意調查決定「侯柯配」或「柯侯配」;","藍白政黨協商共識:民調決勝負 18日公布結果 藍白整合民調定正副 聯合政府國民黨建設發展民眾黨監督制衡 賴清德表示,台灣人民過去數十年共同打拚,堅持民主價值、追求自由人權,得到國際社會肯定,特別是台灣產業發展。","[{""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",False,,1978eb44aeba32eab1a9dbdfa8df05c4,False,03_Lai_chinatimes_news,2023-11-16 14:17:00,"未來組聯合政府,除國防、外交、兩岸由總統決定,其餘部會原則上依各黨派立法委員席次分配,台灣民眾黨主責監督制衡、中國國民黨主責建設發展。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_c76a4fd33977_u005
