Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2023/6/20 22:46,Welcome to Taiwan and hope you have a wonderful time here!,257,17,42
2023/6/20 21:22,Hello Tweeple! 😊,120,10,8
2023/6/9 21:06,I was pleased to have Chair Laura Rosenberger  @BoardChairAIT join dinner with us in Kaoshiung. Marking the night with delicate cuisines with the refreshing twist of Taiwanese flavors. ,326,20,102
2023/6/6 10:52,"出訪日本的第二個晚上，我受邀參加 #日本台灣交流協會 會長 #大橋光夫 先生作東的晚宴，包括理事長谷崎泰明，以及駐台北的泉裕泰代表，也都一同出席。在日本政府中，主管東亞事務的兩位日本政府官員，也是這場晚宴的座上嘉賓。
我擔任市長期間，在台北和大橋會長見過三次面，這次在東京相見，以總統參選人的身份，聊的議題更擴及國政、區域安全等層面。我提到李前總統曾告訴我，台灣的國際關係要把日本當做參考點，再做微調，大概就可以了。當年美日台每個月都有國安高層會議，這個會議非常重要。如果我們要說服美國一定要先說服日本， #台灣跟日本的合作對東亞和平非常重要。
大橋會長也分享，在李前總統去世前一年，還曾到他家裡探望。當時李前總統特別寄託大橋會長，要維繫台日友好關係。大橋會長在交流中，也引用李前總統的話：「如果世界上的所有國家將日台關係作為榜樣，世界將會和平。」
會後，大橋會長送了我一個特別的禮物，他知道我喜歡騎單車，所以送了一個日製的自行車前車燈，除了實用之外，我想在未來前方的路上，日本或許也能提供台灣一些指引。",491,23,68
2023/5/1 15:43,"辛苦的勞工朋友們，今天請好好放鬆，享受這個屬於你們的節日！

世界上大多數國家或地區的勞動節都在5月1日，美加訂於9月的第一個周一，日本每年11月23日，也有「勤勞感謝之日」，以感謝勞動階級對社會和經濟所做的貢獻。

但在台灣，勞動節是否該全民放假始終沒定論，在雙薪家庭為主流的台灣社會，如果爸爸媽媽分別為公務員和勞工，放假「一家兩制」就成為困擾。我認為國定假日訂定辦法應盡量統一，由內政部整體檢討，不要淪於大撒幣，在目前已經一例一休的態樣下，如何兼顧國定假日的意義與衡平性、對經濟與企業的影響都要納入考量。

撇開 #勞動節 放假與否，更重要的 #勞工權益 ，恐怕是全體勞工心中的痛，台灣在2021年平均年總工時已經是全球第四高， #低薪 、 #高壓 、 #超長工時 直接影響了年輕世代生育意願，形成迫切國安危機；勞動部資料更顯示職災傷害逐年增加，製造業的傷病、失能和死亡人數，從2019年的14113人，上升到2021年的14446人，每個數字都代表一個家庭；更不提即將破產的勞保年金、勞動缺口逐年增加，台灣勞工面臨的困境，遠遠超過5月1日該不該放假。

「導引產業轉型」、改善國內經濟狀況，促使企業加薪同時有效降低工時，才是從根本解決勞工問題，我們要把正常的工作環境，還給每一位勞工。

 #WorkersRightsAreHumanRights",474,20,112
2023/4/27 7:37,"Delighted to welcome a delegation from Taiwan to the Texas Capitol today to discuss economic development.

Texas is proud to support Taiwan in the face of rising aggression from China. 

I look forward to working together to strengthen economic ties between Texas and Taiwan. ",793,90,97
2023/4/20 12:05,"歡迎AIT新任主席羅森柏格（Laura Rosenberger） @rosenbergerlm  來台訪問。
4/13，我提前和Laura在AIT總部會面，希望藉由這個機會讓她更深入了解台灣，因為過沒幾天，她就要前往台灣。",169,5,5
2023/4/12 23:22,A meaningful dialogue and exchange. ,627,18,70
2023/4/10 11:25,"美國職棒大聯盟 @MLB 是全世界的棒球殿堂，這次我來到紐約，當然要看看大都會隊 @NewYorkMets 的比賽，除了穿上繡有 #TAIWAN 的一號球衣，更和亞洲市場負責人討論如何完善台灣棒球產業鏈，希望能讓台灣棒球更上一層樓。

我還去了華爾街，看看那隻傳奇金牛，果然人氣很旺，我在旁邊拍張照就可以了。 ",501,20,33
2023/4/9 11:42,"經歷16個小時的飛行，我們終於抵達美國紐約甘迺迪機場，順利落地。

這趟航程時間很長、還跨過國際換日線，我在飛機上依然把握時間繼續研讀資料，加強和美國友人會面的準備。

我們遠道而來，背負著台灣民眾黨的目標和民眾的期望，每分每秒都不能浪費！

#自由台灣
#對話之旅 ",961,33,58
2023/4/5 15:01,"台灣與美國同樣信仰民主自由，享有相同的價值，台灣保有自己的主體性，也期待創造更多的機會與空間。

民眾黨不求戰、備戰、能戰、達到不畏戰，終極目標是尋求亞太穩定，締造區域和平。

感謝 @NikkeiAsia  的專訪。

",442,28,73
2023/3/26 22:00,We can not sacrifice the dignity of our country for diplomatic allies. ,778,42,51
2023/2/25 16:01,"06:00 a.m, I departure from #Kuandu in #Taipei by bicycle, get to #Kaohsiung within 21.5 hours is my goal, it's 367 km away.
The biggest challenge today is the non-stop strong gales, now I am ready to go to next stop ""Changhua Shengang Baotian Temple"".
#OnedayTaipeiKaohsiung ",313,18,16
2023/2/23 13:19,"九天八夜的 #白沙屯媽祖進香 結束了，這是我給自己的挑戰。我的腳程也許不快，但只要堅持，再痛苦困難一樣能抵達終點。

人生沒有不能跨越的難關，心存善念，小草就能屹立不搖，永遠不會被擊倒。

感謝一路上，為我加油的每一個你。
獻給心中有目標、有夢想，勇往直前的你。
",458,17,17
2023/2/7 11:31,"The 7.8 earthquake in Türkiye &amp; Syria region shocked the world, casualties still going up. Taiwan also has high frequency of earthquakes,  we feel the fear and pain of those who live in disaster areas. May the injury be recovered, pray for the living, the victims rest in peace. ",235,18,3
2023/1/17 9:07,"It was great welcoming CDP's delegation for their first visit to TPP yesterday.

We shared ideas from lowering the voting age referendum and digital governance to Taiwan's bid for CPTPP membership. Here's to growing our cooperation for years to come.

#台日友好
#立憲民主黨 ",235,26,15
