Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2023/7/17 15:20,It was a pleasure to meet National Endowment for Democracy's @NEDemocracy President @DamonMacWilson today to discuss how democracies can work together to build resilience and counter authoritarian influence. ,949,91,37
2023/7/17 9:15,"In my speech, at the opening of DPP's 20th National Party Congress, as Chairman &amp; Presidential Candidate, I emphasized under my leadership, Taiwan will be democratic &amp; peaceful, innovative and prosperous as well as sustainable. ",3183,363,208
2023/7/8 9:19,安倍元首相のご逝去から一年が経ちました。私たちはこれからも、安倍元首相が台日関係に多大な貢献をされ、自由と民主主義を守るために揺るぎない決意を示していたことに感謝し続けます。,5157,1012,180
2023/6/8 21:42,"It was a pleasure to host Laura Rosenberger @BoardChairAIT in Tainan. It’s warm here, like the heart of the Taiwanese people. ",1844,172,236
2023/6/6 14:15,"It has been three days since the accident in Odisha, India. Recovering from such a tragedy is not easy, our thoughts are with those who are affected. On behalf of all Taiwanese I send my most sincere wishes for recovery and healing.",1202,110,94
2023/6/2 16:24,"Meeting with the Berlin Security Conference delegation, we agree that ROC Taiwan is a sovereign nation and cannot be considered China's internal affair. Regional peace is in the interests of all countries and requires the cooperation of peace-loving nations. ",1641,200,210
2023/5/29 13:56,"Invited to give a lecture at NTU, I listened to students’ concerns about the relationship between Taiwan and China. My view is that peace without sovereignty is not real peace. It is impossible for ROC Taiwan to accept China's “1992 consensus” and “one-China principle”. ",2000,213,306
2023/5/22 12:44,"May 20th was the 7th anniversary of President Tsai's inauguration. Over the past 7 years, we have made Taiwan more stable and connected. ROC Taiwan is key to global peace and prosperity. As a presidential candidate, I vow to build on the foundations laid down by President Tsai. ",2050,226,204
2023/5/19 11:56,"I am pleased to meet Liz Truss @trussliz , former British PM and current MP of the House of Commons. I appreciate her support for Taiwan. In both our countries, democracy must be safeguarded through cooperation. ",2223,262,167
2023/5/12 18:41,Taiwan and Federation of Saint Kitts and Nevis are about to celebrate 40 years of diplomatic relations. Throughout our relationship we have cooperated as equals. Deputy Prime Minister Geoffrey Hanley and I both look forward to a long-lasting friendship between our two countries. ,880,77,82
2023/5/12 12:44,It was my pleasure to discuss cyber security with former U.S. Secretary of Homeland Security Janet Napolitano. Information security is national security. Our most important task right now is to cooperate with our partners to protect democracy in Taiwan. ,975,91,61
2023/5/4 21:46,今日はうれしいことに鈴木憲和衆院議員を始めとする「日本自民党青年局長衆議院訪問団」のみなさまと面会し、日本と台湾の未来について話し合いました。経済と安全に関する協力は、私たちが共に努力していくべき目標です。 ,1547,209,120
2023/5/4 21:42,今日は総統府にとても貴重なお客さまがお見えになりました。山東昭子前参院議長を始めとする訪問団がもたらした女性のパワーは、暖かく力強いもので、私たちは両国の発展について共通の認識を持ち、今後さらなるマルチな協力があるものと確信しています。 ,1846,218,73
2023/5/3 12:07,今日は日本の熊本県の国会議員、副知事、県議会議員のみなさまとお会いしました。今回の団長は坂本哲志衆院議員で、私たちはTSMC(台湾積体電路製造)熊本工場の建設や、両国の将来的な経済の発展と安全について話し合い、とても楽しく意見交換することができました。 ,1659,234,74
2023/5/1 11:17,"Felicitaciones al presidente electo @SantiPenap y al pueblo Paraguayo. Cuenten con nuestro apoyo, que la cooperación entre nuestras naciones continúe y crezca. 🇹🇼🇵🇾",1048,149,74
