doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_46841bdafffe,_46841bdafffe_u000,"Having met @GovMurphy this year in the US, I am delighted to welcome him, @FirstLadyNJ &amp;",context,,"the delegation to Taiwan. I look forward to deepening #Taiwan-#NewJersey collaboration in ICT, healthcare, biotech, &amp;",[],[],False,,cc1aed9b5e51fea8bff7e3201f54c136,False,01_Hou_X_datasets,2023-10-27 19:42:00
_46841bdafffe,_46841bdafffe_u001,"the delegation to Taiwan. I look forward to deepening #Taiwan-#NewJersey collaboration in ICT, healthcare, biotech, &amp;",context,"Having met @GovMurphy this year in the US, I am delighted to welcome him, @FirstLadyNJ &amp;","green energy, &amp;",[],[],False,,3b9fc22c76f83347baa83b1ee858cd13,False,01_Hou_X_datasets,2023-10-27 19:42:00
_46841bdafffe,_46841bdafffe_u002,"green energy, &amp;",context,"the delegation to Taiwan. I look forward to deepening #Taiwan-#NewJersey collaboration in ICT, healthcare, biotech, &amp;",working together to build resilient global supply chains.,[],[],False,,b1774691d25bf9a711063671e6039fdd,False,01_Hou_X_datasets,2023-10-27 19:42:00
_46841bdafffe,_46841bdafffe_u003,working together to build resilient global supply chains.,context,"green energy, &amp;",,[],[],False,,cebb35abc8e482b00e602c0c26d7d3b6,False,01_Hou_X_datasets,2023-10-27 19:42:00
_29b5808fa1cc,_29b5808fa1cc_u000,"Invisible Nation, a documentary featuring interviews with President Tsai, tells the story of Taiwan’s democracy and unique challenges. Coming to Virginia this Saturday. Find ticket information here:",context,,,[],[],False,,0cf1808decec842f281cd3db3a88ab64,False,01_Hou_X_datasets,2023-10-18 08:32:00
_f81a111a9786,_f81a111a9786_u000,"Today is the 112th National Day of the Republic of China. After three long years, we finally took off our masks to see one another again and gathered together to celebrate our country's National Day.",context,,,[],[],False,,54a33c1df271b4d70dcc05d2d6aae745,False,01_Hou_X_datasets,2023-10-11 16:33:00
_3388ec7c92a5,_3388ec7c92a5_u000,"Grateful to our friends for speaking up for #Taiwan at #UNGA78. Thank you to #Belize PM @JohnBricenoBZE, #Guatemala President @DrGiammattei, #Paraguay President @SantiPenap &amp;",context,,#Palau President @Surangeljr for highlighting the importance of Taiwan’s international participation.,[],[],False,,6f9320f7318dd9c23e0088b3595baacb,False,01_Hou_X_datasets,2023-09-22 02:03:00
_3388ec7c92a5,_3388ec7c92a5_u001,#Palau President @Surangeljr for highlighting the importance of Taiwan’s international participation.,context,"Grateful to our friends for speaking up for #Taiwan at #UNGA78. Thank you to #Belize PM @JohnBricenoBZE, #Guatemala President @DrGiammattei, #Paraguay President @SantiPenap &amp;",,[],[],False,,61fd6e5250b1a19bcc8b06576c51cb77,False,01_Hou_X_datasets,2023-09-22 02:03:00
_388b5b176403,_388b5b176403_u000,A big welcome to the new Virginia-Taiwan Trade Office!,context,,Appreciate @GovernorVA leadership on this and look forward to robust two-way trade and investments. Thanks @ReevesVA,[],[],False,,9ba50c67ac4d81f44fcc94503dc327b0,False,01_Hou_X_datasets,2023-09-20 03:24:00
_388b5b176403,_388b5b176403_u001,Appreciate @GovernorVA leadership on this and look forward to robust two-way trade and investments. Thanks @ReevesVA,context,A big welcome to the new Virginia-Taiwan Trade Office!,,[],[],False,,470fd8cacdb78e965c7819487dde2ede,False,01_Hou_X_datasets,2023-09-20 03:24:00
_47667d4981c2,_47667d4981c2_u000,"An important milestone moving towards relief in double taxation, with the reciprocal goal of incentivizing more two-way investments and deeper Taiwan-US economic ties.",context,,,[],[],False,,2744df2e1d29d9cc7597e56ec6fb7c54,False,01_Hou_X_datasets,2023-09-15 04:45:00
_8a6a75b72fb6,_8a6a75b72fb6_u000,Thanks to the Congressional Taiwan Caucus leadership for their continuing commitment to support Taiwan’s meaningful participation in international organizations.,context,,,[],[],False,,088337e0d48331500a78dcca2ef543f0,False,01_Hou_X_datasets,2023-09-13 07:38:00
_e8e580456b55,_e8e580456b55_u000,"#UNGA78 begins today with the theme “Rebuilding Trust &amp; Reigniting Global Solidarity,” yet #Taiwan🇹🇼, a peace-loving democracy vital to the global economy &amp;",context,,"security, isn’t invited. Watch the video &amp;",[],[],False,,adfe4162d3868d2822d794c95dde4e62,False,01_Hou_X_datasets,2023-09-05 23:59:00
_e8e580456b55,_e8e580456b55_u001,"security, isn’t invited. Watch the video &amp;",context,"#UNGA78 begins today with the theme “Rebuilding Trust &amp; Reigniting Global Solidarity,” yet #Taiwan🇹🇼, a peace-loving democracy vital to the global economy &amp;",learn how #China’s undue influence on @UN has consequences that affect us all.,[],[],False,,b07a900df433df571b52cc4e14256f54,False,01_Hou_X_datasets,2023-09-05 23:59:00
_e8e580456b55,_e8e580456b55_u002,learn how #China’s undue influence on @UN has consequences that affect us all.,context,"security, isn’t invited. Watch the video &amp;",,[],[],False,,e06d4595a99e3c4294e0681e535faf64,False,01_Hou_X_datasets,2023-09-05 23:59:00
_bd73bafa664b,_bd73bafa664b_u000,“Taiwan citizens used to be allowed into this building and they’re not allowed now. How did that change?” I hope journalists continue to ask these questions at the @UN next week because my dad enjoys laughing at these videos with me.,context,,,[],[],False,,5992f4a8043c2bd86ee1483ee61903b2,False,01_Hou_X_datasets,2023-08-31 00:43:00
_7df2332531e6,_7df2332531e6_u000,A big congratulations to the Taoyuan Gueishan Elementary School baseball team which came in 3rd in the Little League World Series at Williamsport. We are all so proud of you!,context,,⚾️ 🇹🇼 🥉🏆⚾️💪😻,[],[],False,,10611acaf3da3f01b4e130d3057ff762,False,01_Hou_X_datasets,2023-08-28 02:48:00
_7df2332531e6,_7df2332531e6_u001,⚾️ 🇹🇼 🥉🏆⚾️💪😻,context,A big congratulations to the Taoyuan Gueishan Elementary School baseball team which came in 3rd in the Little League World Series at Williamsport. We are all so proud of you!,,[],[],False,,044760a635eee2d38821299c3545f1d9,False,01_Hou_X_datasets,2023-08-28 02:48:00
_0030d1de28a5,_0030d1de28a5_u000,"Love these photos of f @iingwen attending a warm-up basketball match between Latvia 🇱🇻 and Lithuania 🇱🇹 in Taipei with the former LT President. Again, the passion for sports crosses boundaries and borders.",context,,,[],[],False,,9fb20b3a3d1560772e64d7f8a3d731db,False,01_Hou_X_datasets,2023-08-23 06:09:00
_4d5d99de49a7,_4d5d99de49a7_u000,"""China is attacking Lai because he is reasonable, not because he’s a hothead,"" @joshrogin writes. ""That makes him much harder for Beijing to undermine.""",quote,,,[],[],False,,9b5f183014300083bf81376fc7a5f7af,False,01_Hou_X_datasets,2023-08-22 23:46:00
_8132d1bae816,_8132d1bae816_u000,We welcome the staunch support for #TaiwanStrait peace &amp;,context,,stability expressed at the #US🇺🇸-#Japan🇯🇵-#ROK🇰🇷 leaders summit &amp;,[],[],False,,71edf02c29e8ce891bf16f5e6379cd33,False,01_Hou_X_datasets,2023-08-22 09:45:00
_8132d1bae816,_8132d1bae816_u001,stability expressed at the #US🇺🇸-#Japan🇯🇵-#ROK🇰🇷 leaders summit &amp;,context,We welcome the staunch support for #TaiwanStrait peace &amp;,"thank @POTUS, @kishida230 &amp;",[],[],False,,e6eccdf06e849a398420d6c6b508bf05,False,01_Hou_X_datasets,2023-08-22 09:45:00
