period,candidate,L1,share_smooth,period_end
2023-04-10/2023-04-16,赖清德,L1-03,0.20753765993130033,2023-04-10/2023-04-16
2023-04-10/2023-04-16,赖清德,L1-06,0.26112684221603294,2023-04-10/2023-04-16
2023-04-10/2023-04-16,赖清德,L1-07,0.13752261978288338,2023-04-10/2023-04-16
2023-04-17/2023-04-23,侯友宜,L1-01,0.0,2023-04-17/2023-04-23
2023-04-17/2023-04-23,侯友宜,L1-03,0.02040816326530612,2023-04-17/2023-04-23
2023-04-17/2023-04-23,侯友宜,L1-06,0.1793974732750243,2023-04-17/2023-04-23
2023-04-17/2023-04-23,侯友宜,L1-07,0.20544217687074834,2023-04-17/2023-04-23
2023-04-17/2023-04-23,柯文哲,L1-01,0.09140030435377842,2023-04-17/2023-04-23
2023-04-17/2023-04-23,柯文哲,L1-03,0.3114372681445852,2023-04-17/2023-04-23
2023-04-17/2023-04-23,柯文哲,L1-06,0.2732591091386439,2023-04-17/2023-04-23
2023-04-17/2023-04-23,柯文哲,L1-07,0.059778379769668946,2023-04-17/2023-04-23
2023-04-17/2023-04-23,赖清德,L1-01,0.08860878846312045,2023-04-17/2023-04-23
2023-04-17/2023-04-23,赖清德,L1-03,0.24667090410621456,2023-04-17/2023-04-23
2023-04-17/2023-04-23,赖清德,L1-06,0.26976812464478644,2023-04-17/2023-04-23
2023-04-17/2023-04-23,赖清德,L1-07,0.17000056384078285,2023-04-17/2023-04-23
2023-04-24/2023-04-30,侯友宜,L1-01,0.0020408163265306124,2023-04-24/2023-04-30
2023-04-24/2023-04-30,侯友宜,L1-03,0.07142857142857142,2023-04-24/2023-04-30
2023-04-24/2023-04-30,侯友宜,L1-06,0.09985422740524781,2023-04-24/2023-04-30
2023-04-24/2023-04-30,侯友宜,L1-07,0.2248299319727891,2023-04-24/2023-04-30
2023-04-24/2023-04-30,柯文哲,L1-01,0.12375085169202817,2023-04-24/2023-04-30
2023-04-24/2023-04-30,柯文哲,L1-03,0.2625054803626232,2023-04-24/2023-04-30
2023-04-24/2023-04-30,柯文哲,L1-06,0.18867184434411324,2023-04-24/2023-04-30
2023-04-24/2023-04-30,柯文哲,L1-07,0.11022588522588521,2023-04-24/2023-04-30
2023-04-24/2023-04-30,赖清德,L1-01,0.04144800777453839,2023-04-24/2023-04-30
2023-04-24/2023-04-30,赖清德,L1-03,0.21973267662043172,2023-04-24/2023-04-30
2023-04-24/2023-04-30,赖清德,L1-06,0.29695534057778955,2023-04-24/2023-04-30
2023-04-24/2023-04-30,赖清德,L1-07,0.22381688606178402,2023-04-24/2023-04-30
2023-05-01/2023-05-07,侯友宜,L1-01,0.012244897959183673,2023-05-01/2023-05-07
2023-05-01/2023-05-07,侯友宜,L1-03,0.004081632653061225,2023-05-01/2023-05-07
2023-05-01/2023-05-07,侯友宜,L1-06,0.12993197278911564,2023-05-01/2023-05-07
2023-05-01/2023-05-07,侯友宜,L1-07,0.32721088435374146,2023-05-01/2023-05-07
2023-05-01/2023-05-07,柯文哲,L1-01,0.0388682745825603,2023-05-01/2023-05-07
2023-05-01/2023-05-07,柯文哲,L1-03,0.18722943722943722,2023-05-01/2023-05-07
2023-05-01/2023-05-07,柯文哲,L1-06,0.2913650597324066,2023-05-01/2023-05-07
2023-05-01/2023-05-07,柯文哲,L1-07,0.14337004643127088,2023-05-01/2023-05-07
2023-05-01/2023-05-07,赖清德,L1-01,0.06244113029827316,2023-05-01/2023-05-07
2023-05-01/2023-05-07,赖清德,L1-03,0.18321933168871946,2023-05-01/2023-05-07
2023-05-01/2023-05-07,赖清德,L1-06,0.36387829857217613,2023-05-01/2023-05-07
2023-05-01/2023-05-07,赖清德,L1-07,0.0903528444344771,2023-05-01/2023-05-07
2023-05-08/2023-05-14,侯友宜,L1-01,0.0,2023-05-08/2023-05-14
2023-05-08/2023-05-14,侯友宜,L1-03,0.1673469387755102,2023-05-08/2023-05-14
2023-05-08/2023-05-14,侯友宜,L1-06,0.09523809523809523,2023-05-08/2023-05-14
2023-05-08/2023-05-14,侯友宜,L1-07,0.24761904761904763,2023-05-08/2023-05-14
2023-05-08/2023-05-14,柯文哲,L1-01,0.05310760667903525,2023-05-08/2023-05-14
2023-05-08/2023-05-14,柯文哲,L1-03,0.1509908904866888,2023-05-08/2023-05-14
2023-05-08/2023-05-14,柯文哲,L1-06,0.2984830607879827,2023-05-08/2023-05-14
2023-05-08/2023-05-14,柯文哲,L1-07,0.19397787389984264,2023-05-08/2023-05-14
2023-05-08/2023-05-14,赖清德,L1-01,0.047492695119137,2023-05-08/2023-05-14
2023-05-08/2023-05-14,赖清德,L1-03,0.2648022400551238,2023-05-08/2023-05-14
2023-05-08/2023-05-14,赖清德,L1-06,0.36372366911408616,2023-05-08/2023-05-14
2023-05-08/2023-05-14,赖清德,L1-07,0.11152555814490153,2023-05-08/2023-05-14
2023-05-15/2023-05-21,侯友宜,L1-01,0.0,2023-05-15/2023-05-21
2023-05-15/2023-05-21,侯友宜,L1-03,0.1651343643824847,2023-05-15/2023-05-21
2023-05-15/2023-05-21,侯友宜,L1-06,0.15611393618912414,2023-05-15/2023-05-21
2023-05-15/2023-05-21,侯友宜,L1-07,0.06347850144842625,2023-05-15/2023-05-21
2023-05-15/2023-05-21,柯文哲,L1-01,0.003826530612244898,2023-05-15/2023-05-21
2023-05-15/2023-05-21,柯文哲,L1-03,0.26632312421628146,2023-05-15/2023-05-21
2023-05-15/2023-05-21,柯文哲,L1-06,0.3254296671163418,2023-05-15/2023-05-21
